Name_of_LF,Parameter,Value,Unit,AssociateSG
,Voltage,14.3,kVRMSLL,
,P,40,MW,
,Qset,8.3,MVAR,
,Qmax,33.6258,MVAR,
,Qmin,-43.589,MVAR,
LF_EPASO_U1,BusType,PQ,,ElPaso_U1
,Voltage,10.5,kVRMSLL,
,P,5,MW,
,Qset,1.7,MVAR,
,Qmax,12,MVAR,
,Qmin,-20,MVAR,
LF_EPASO_U2,BusType,PV,,ElPaso_U2
,Voltage,10.5,kVRMSLL,
,P,20.333,MW,
,Qset,4,MVAR,
,Qmax,23.6,MVAR,
,Qmin,-23.6,MVAR,
LF_EPASO_U3,BusType,PV,,ElPaso_U3
,Voltage,10.5,kVRMSLL,
,P,20.3333,MW,
,Qset,4,MVAR,
,Qmax,23.6,MVAR,
,Qmin,-23.6,MVAR,
LF_SANDRES_U1,BusType,PV,,SanAndres_U1
,Voltage,10.5,kVRMSLL,
,P,12.5,MW,
,Qset,4,MVAR,
,Qmax,11,MVAR,
,Qmin,-11,MVAR,
LF_SANDRES_U2,BusType,PQ,,SanAndres_U2
,Voltage,10.5,kVRMSLL,
,P,5,MW,
,Qset,1.3,MVAR,
,Qmax,11,MVAR,
,Qmin,-11,MVAR,
LF_LCONFLUE_U1,BusType,PV,,LaConfluencia_U1
,Voltage,15.1,kVRMSLL,
,P,28,MW,
,Qset,8.3,MVAR,
,Qmax,41.8,MVAR,
,Qmin,-41.8,MVAR,
LF_LCONFLUE_U2,BusType,PV,,LaConfluencia_U2
,Voltage,15.2,kVRMSLL,
,P,28,MW,
,Qset,8.3,MVAR,
,Qmax,41.8,MVAR,
,Qmin,-41.8,MVAR,
LF_MAPA_TG7,BusType,PV,,MAPA_TG7
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,225,MVAR,
,Qmin,-225,MVAR,
LF_MAPA_TG8,BusType,PV,,MAPA_TG8
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,273,MVAR,
,Qmin,-273,MVAR,
LF_ANG_U2,BusType,PV,,Angostura_U2
,Voltage,13.524,kVRMSLL,
,P,121,MW,
,Qset,480,MVAR,
,Qmax,65,MVAR,
,Qmin,-65,MVAR,
LF_ANG_U3,BusType,PV,,Angostura_U3
,Voltage,13.524,kVRMSLL,
,P,13,MW,
,Qset,480,MVAR,
,Qmax,21.68,MVAR,
,Qmin,-21,MVAR,
LF2,BusType,PV,,Angostura_U1
,Voltage,13.8,kVRMSLL,
,P,74,MW,
,Qset,480,MVAR,
,Qmax,65,MVAR,
,Qmin,-65,MVAR,
LF_CANU_U1,BusType,PV,,Canutillar_U1
,Voltage,13.8,kVRMSLL,
,P,25,MW,
,Qset,480,MVAR,
,Qmax,10,MVAR,
,Qmin,-18,MVAR,
LF_CANU_U2,BusType,PV,,Canutillar_U2
,Voltage,13.8,kVRMSLL,
,P,25,MW,
,Qset,480,MVAR,
,Qmax,10,MVAR,
,Qmin,-18,MVAR,
