Name_of_SG,Type_of_data,Parameter,Value,Unit,Status
,,T_dpp,0.03729348,s,
,,X_qp,0.352,pu,
,,X_qpp,0.143,pu,
,,T_qp,0.2078476,s,
,,T_qpp,0.0349375,s,
,Mechanical_data,H,4.95,kgm^2/rad,
GUACOLDA_U5,Electrical_data,V_a,14.5,1kVRMSLL,
,,V_b,14.5,1kVRMSLL,
,,V_c,14.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),14.5,kVRMSLL,
,,Rated_power,181.177,MVA,
,,R_a,.002,pu,
,,X_l,0.13,pu,
,,X_0,0.075,pu,
,,X_d,2.17,pu,
,,X_q,2.1,pu,
,,X_dp,0.184,pu,
,,X_dpp,0.146,pu,
,,T_dp,0.9411982,s,
,,T_dpp,0.03729348,s,
,,X_qp,0.352,pu,
,,X_qpp,0.143,pu,
,,T_qp,0.2078476,s,
,,T_qpp,0.0349375,s,
,Mechanical_data,H,4.95,kgm^2/rad,
Quintero_TG1A,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,170.47,MVA,
,,R_a,.002,pu,
,,X_l,0.144,pu,
,,X_0,0.096,pu,
,,X_d,2.2,pu,
,,X_q,2.01,pu,
,,X_dp,0.279,pu,
,,X_dpp,0.198,pu,
,,T_dp,1.953,s,
,,T_dpp,0.03548387,s,
,,X_qp,0.4,pu,
,,X_qpp,0.24,pu,
,,T_qp,0.6169154,s,
,,T_qpp,0.03,s,
,Mechanical_data,H,6.03,kgm^2/rad,
Quintero_TG1B,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,170.47,MVA,
,,R_a,.002,pu,
,,X_l,0.144,pu,
,,X_0,0.096,pu,
,,X_d,2.2,pu,
,,X_q,2.01,pu,
,,X_dp,0.279,pu,
,,X_dpp,0.198,pu,
,,T_dp,1.953,s,
,,T_dpp,0.03548387,s,
,,X_qp,0.4,pu,
,,X_qpp,0.24,pu,
,,T_qp,0.6169154,s,
,,T_qpp,0.03,s,
,Mechanical_data,H,5.35,kgm^2/rad,
Nehuenco_U1_TV,Electrical_data,V_a,10.5,1kVRMSLL,
,,V_b,10.5,1kVRMSLL,
,,V_c,10.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),10.5,kVRMSLL,
,,Rated_power,175,MVA,
,,R_a,.002,pu,
,,X_l,0.222,pu,
,,X_0,0.12,pu,
,,X_d,2.7,pu,
,,X_q,1.95,pu,
,,X_dp,0.29,pu,
,,X_dpp,0.23,pu,
,,T_dp,1.095556,s,
,,T_dpp,0.02458621,s,
,,X_qp,0.59,pu,
,,X_qpp,0.24,pu,
,,T_qp,0.5143589,s,
,,T_qpp,0.02847458,s,
,Mechanical_data,H,7.2,kgm^2/rad,
Nehuenco_U1_TG,Electrical_data,V_a,15.75,1kVRMSLL,
,,V_b,15.75,1kVRMSLL,
,,V_c,15.75,1kVRMSLL,
,,Rated_voltage_(Y-connection),15.75,kVRMSLL,
,,Rated_power,273,MVA,
,,R_a,.002,pu,
,,X_l,0.001,pu,
,,X_0,0.1145,pu,
,,X_d,2.585,pu,
,,X_q,2.456,pu,
,,X_dp,0.2598,pu,
,,X_dpp,0.1872,pu,
,,T_dp,1.222115,s,
,,T_dpp,0.03047945,s,
,,X_qp,0.5319,pu,
,,X_qpp,0.2059,pu,
,,T_qp,0.6367207,s,
,,T_qpp,0.067743,s,
,Mechanical_data,H,7.7,kgm^2/rad,
Nehuenco_U2_TG,Electrical_data,V_a,15.75,1kVRMSLL,
,,V_b,15.75,1kVRMSLL,
,,V_c,15.75,1kVRMSLL,
,,Rated_voltage_(Y-connection),15.75,kVRMSLL,
,,Rated_power,300,MVA,
,,R_a,.002,pu,
,,X_l,0.165,pu,
,,X_0,0.125,pu,
,,X_d,2.1,pu,
,,X_q,2.02,pu,
,,X_dp,0.275,pu,
,,X_dpp,0.22,pu,
,,T_dp,1.041071,s,
,,T_dpp,0.04375999,s,
,,X_qp,0.49,pu,
,,X_qpp,0.22,pu,
,,T_qp,0.1746535,s,
,,T_qpp,0.0484898,s,
,Mechanical_data,H,4.6,kgm^2/rad,
Nehuenco_U2_TV,Electrical_data,V_a,15.75,1kVRMSLL,
,,V_b,15.75,1kVRMSLL,
,,V_c,15.75,1kVRMSLL,
,,Rated_voltage_(Y-connection),15.75,kVRMSLL,
,,Rated_power,164,MVA,
,,R_a,.002,pu,
,,X_l,0.12,pu,
,,X_0,0.087,pu,
,,X_d,2.12,pu,
,,X_q,1.91,pu,
,,X_dp,0.21,pu,
,,X_dpp,0.182,pu,
,,T_dp,1.002453,s,
,,T_dpp,0.02253333,s,
,,X_qp,0.251,pu,
,,X_qpp,0.182,pu,
,,T_qp,0.1406126,s,
,,T_qpp,0.03262949,s,
,Mechanical_data,H,6.27,kgm^2/rad,
Nehuenco_U3,Electrical_data,V_a,10.5,1kVRMSLL,
,,V_b,10.5,1kVRMSLL,
,,V_c,10.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),10.5,kVRMSLL,
,,Rated_power,111.625,MVA,
,,R_a,.002,pu,
,,X_l,0.11,pu,
,,X_0,0.078,pu,
,,X_d,2.22,pu,
,,X_q,1.8,pu,
,,X_dp,0.267,pu,
,,X_dpp,0.166,pu,
,,T_dp,0.6085675,s,
,,T_dpp,0.02424719,s,
,,X_qp,0.319,pu,
,,X_qpp,0.153,pu,
,,T_qp,0.08861112,s,
,,T_qpp,0.01630721,s,
,Mechanical_data,H,7.5,kgm^2/rad,
Hornitos_U1,Electrical_data,V_a,11,1kVRMSLL,
,,V_b,11,1kVRMSLL,
,,V_c,11,1kVRMSLL,
,,Rated_voltage_(Y-connection),11,kVRMSLL,
,,Rated_power,59.8,MVA,
,,R_a,0,pu,
,,X_l,0.089,pu,
,,X_0,0.09,pu,
,,X_d,1.11,pu,
,,X_q,0.692,pu,
,,X_dp,0.274,pu,
,,X_dpp,0.187,pu,
,,T_dp,2.261117,s,
,,T_dpp,0.06824818,s,
,,X_qp,0.692,pu,
,,X_qpp,0.164,pu,
,,T_qp,0,s,
,,T_qpp,0.05687862,s,
,Mechanical_data,H,2.7,kgm^2/rad,
LosQuilos,Electrical_data,V_a,6.6,1kVRMSLL,
,,V_b,6.6,1kVRMSLL,
,,V_c,6.6,1kVRMSLL,
,,Rated_voltage_(Y-connection),6.6,kVRMSLL,
,,Rated_power,38.8,MVA,
,,R_a,0,pu,
,,X_l,0.3,pu,
,,X_0,0.115,pu,
,,X_d,1.85,pu,
,,X_q,1.3,pu,
,,X_dp,0.55,pu,
,,X_dpp,0.35,pu,
,,T_dp,2.224561,s,
,,T_dpp,0.0135,s,
,,X_qp,1,pu,
,,X_qpp,0.35,pu,
,,T_qp,0,s,
,,T_qpp,0.01280702,s,
,Mechanical_data,H,1.6,kgm^2/rad,
Blanco,Electrical_data,V_a,12,1kVRMSLL,
,,V_b,12,1kVRMSLL,
,,V_c,12,1kVRMSLL,
,,Rated_voltage_(Y-connection),12,kVRMSLL,
,,Rated_power,56,MVA,
,,R_a,0,pu,
,,X_l,0.1,pu,
,,X_0,0.075,pu,
,,X_d,1.425,pu,
,,X_q,0.855,pu,
,,X_dp,0.5,pu,
,,X_dpp,0.15,pu,
,,T_dp,2.224561,s,
,,T_dpp,0.0135,s,
,,X_qp,0.855,pu,
,,X_qpp,0.15,pu,
,,T_qp,0,s,
,,T_qpp,0.01280702,s,
,Mechanical_data,H,2.895,kgm^2/rad,
Juncal,Electrical_data,V_a,12,1kVRMSLL,
,,V_b,12,1kVRMSLL,
,,V_c,12,1kVRMSLL,
,,Rated_voltage_(Y-connection),12,kVRMSLL,
,,Rated_power,30,MVA,
,,R_a,0,pu,
,,X_l,0.085,pu,
,,X_0,0.075,pu,
,,X_d,1.502,pu,
,,X_q,0.797,pu,
,,X_dp,0.5,pu,
,,X_dpp,0.26,pu,
,,T_dp,1.681092,s,
,,T_dpp,0.01924,s,
,,X_qp,0.797,pu,
,,X_qpp,0.283,pu,
,,T_qp,0,s,
,,T_qpp,0.02272522,s,
,Mechanical_data,H,2.65,kgm^2/rad,
Guacolda_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,176.5,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0977,pu,
,,X_d,2.24,pu,
,,X_q,2.24,pu,
,,X_dp,0.236,pu,
,,X_dpp,0.176,pu,
,,T_dp,0.8955357,s,
,,T_dpp,0.01640678,s,
,,X_qp,0.59,pu,
,,X_qpp,0.176,pu,
,,T_qp,0.4477678,s,
,,T_qpp,0.00656271,s,
,Mechanical_data,H,4.32,kgm^2/rad,
Guacolda_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,176.5,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0977,pu,
,,X_d,2.24,pu,
,,X_q,2.24,pu,
,,X_dp,0.236,pu,
,,X_dpp,0.176,pu,
,,T_dp,0.8955357,s,
,,T_dpp,0.01640678,s,
,,X_qp,0.59,pu,
,,X_qpp,0.176,pu,
,,T_qp,0.4477678,s,
,,T_qpp,0.00656271,s,
,Mechanical_data,H,4.32,kgm^2/rad,
Guacolda_U3,Electrical_data,V_a,13.3,1kVRMSLL,
,,V_b,13.3,1kVRMSLL,
,,V_c,13.3,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.3,kVRMSLL,
,,Rated_power,178.82,MVA,
,,R_a,.002,pu,
,,X_l,0.09,pu,
,,X_0,0.067,pu,
,,X_d,1.603,pu,
,,X_q,1.567,pu,
,,X_dp,0.183,pu,
,,X_dpp,0.151,pu,
,,T_dp,0.9475359,s,
,,T_dpp,0.03548088,s,
,,X_qp,0.309,pu,
,,X_qpp,0.131,pu,
,,T_qp,0.1814167,s,
,,T_qpp,0.0351877,s,
,Mechanical_data,H,4.95,kgm^2/rad,
Guacolda_U4,Electrical_data,V_a,14.5,1kVRMSLL,
,,V_b,14.5,1kVRMSLL,
,,V_c,14.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),14.5,kVRMSLL,
,,Rated_power,178.82,MVA,
,,R_a,.002,pu,
,,X_l,0.13,pu,
,,X_0,0.075,pu,
,,X_d,2.17,pu,
,,X_q,2.1,pu,
,,X_dp,0.184,pu,
,,X_dpp,0.146,pu,
,,T_dp,0.9411982,s,
,,T_dpp,0.03729348,s,
,,X_qp,0.352,pu,
,,X_qpp,0.143,pu,
,,T_qp,0.2078476,s,
,,T_qpp,0.0349375,s,
,Mechanical_data,H,4.95,kgm^2/rad,
Guacolda_U5,Electrical_data,V_a,14.5,1kVRMSLL,
,,V_b,14.5,1kVRMSLL,
,,V_c,14.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),14.5,kVRMSLL,
,,Rated_power,181.177,MVA,
,,R_a,.002,pu,
,,X_l,0.13,pu,
,,X_0,0.075,pu,
,,X_d,2.17,pu,
,,X_q,2.1,pu,
,,X_dp,0.184,pu,
,,X_dpp,0.146,pu,
,,T_dp,0.9411982,s,
,,T_dpp,0.03729348,s,
,,X_qp,0.352,pu,
,,X_qpp,0.143,pu,
,,T_qp,0.2078476,s,
,,T_qpp,0.0349375,s,
,Mechanical_data,H,4.95,kgm^2/rad,
Alfalfal_U1,Electrical_data,V_a,12,1kVRMSLL,
,,V_b,12,1kVRMSLL,
,,V_c,12,1kVRMSLL,
,,Rated_voltage_(Y-connection),12,kVRMSLL,
,,Rated_power,95,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.11,pu,
,,X_d,1.1,pu,
,,X_q,0.8,pu,
,,X_dp,0.304,pu,
,,X_dpp,0.216,pu,
,,T_dp,2.736,s,
,,T_dpp,0.0461842,s,
,,X_qp,0.8,pu,
,,X_qpp,0.25,pu,
,,T_qp,0,s,
,,T_qpp,0.0103125,s,
,Mechanical_data,H,2.65,kgm^2/rad,
Alfalfal_U2,Electrical_data,V_a,12,1kVRMSLL,
,,V_b,12,1kVRMSLL,
,,V_c,12,1kVRMSLL,
,,Rated_voltage_(Y-connection),12,kVRMSLL,
,,Rated_power,95,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.11,pu,
,,X_d,1.1,pu,
,,X_q,0.8,pu,
,,X_dp,0.304,pu,
,,X_dpp,0.216,pu,
,,T_dp,2.736,s,
,,T_dpp,0.0461842,s,
,,X_qp,0.8,pu,
,,X_qpp,0.25,pu,
,,T_qp,0,s,
,,T_qpp,0.0103125,s,
,Mechanical_data,H,2.65,kgm^2/rad,
Alfalfal_II_U1,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,162.1,MVA,
,,R_a,0,pu,
,,X_l,0.102,pu,
,,X_0,0.1,pu,
,,X_d,1.007,pu,
,,X_q,0.733,pu,
,,X_dp,0.282,pu,
,,X_dpp,0.203,pu,
,,T_dp,2.668778,s,
,,T_dpp,0.1036596,s,
,,X_qp,0.733,pu,
,,X_qpp,0.205,pu,
,,T_qp,0,s,
,,T_qpp,0.06712142,s,
,Mechanical_data,H,4.05,kgm^2/rad,
