Name_LoadLF,LibType,Parameter,Value, Unit
TR_LALMEND_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,73.22666666,MW
,,Np,0,
,,Q_loadLF,16,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ALFALFAL_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,16.6966666,MW
,,Np,0,
,,Q_loadLF,1.47666666,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CORDILLERA220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,62.4266666,MW
,,Np,0,
,,Q_loadLF,6.24,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_RTOMIC,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,18.9766667,MW
,,Np,0,
,,Q_loadLF,0.7933333333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MMH,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,34.69,MW
,,Np,0,
,,Q_loadLF,10.93333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ELTESORO,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.03333333,MW
,,Np,0,
,,Q_loadLF,0.033333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ESPERANZA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,38.2,MW
,,Np,0,
,,Q_loadLF,8,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ANTUCOYA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,12.333333333333333,MW
,,Np,0,
,,Q_loadLF,3.6,MVAR
,,Nq,0,
,,connectionType,Yg,
EB_SGORDA_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,8.3033333,MW
,,Np,0,
,,Q_loadLF,1.59666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_GABY,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,12.55666667,MW
,,Np,0,
,,Q_loadLF,4.6933333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MBLANCOS,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,7.966666667,MW
,,Np,0,
,,Q_loadLF,3.96666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_LBAYAS,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,9.3333333,MW
,,Np,0,
,,Q_loadLF,0.6666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_FORTUNA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.7,MW
,,Np,0,
,,Q_loadLF,0.166666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_O_MINSAL_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,20.54666667,MW
,,Np,0,
,,Q_loadLF,9.57666666667,MVAR
